indi_pt,count
Coronavirus infection,4673
Type V hyperlipidaemia,4666
Microscopic polyangiitis,4654
Completed suicide,4647
Parkinsonism,4645
Angioedema,4633
Chronic gastritis,4628
Adrenal insufficiency,4619
Fluid replacement,4564
Ear infection,4553
Oral contraception,4543
Oesophagitis,4542
Vitamin B12 deficiency,4538
Duodenal ulcer,4518
Androgenetic alopecia,4507
Mood swings,4498
Focal dyscognitive seizures,4494
Primary myelofibrosis,4493
Hypoaesthesia,4491
Hepatic encephalopathy,4478
Disseminated tuberculosis,4454
Overdose,4452
Heart rate irregular,4450
Vertigo,4450
Blood potassium decreased,4435
Bulbospinal muscular atrophy congenital,4430
Endocrine ophthalmopathy,4341
Restlessness,4339
Mucopolysaccharidosis IV,4327
Enterococcal infection,4323
Haemangioma,4303
In vitro fertilisation,4303
Hypertriglyceridaemia,4303
Supraventricular tachycardia,4302
Intrauterine contraception,4297
Haemophilia,4291
Alopecia areata,4269
Hypomagnesaemia,4269
Autoimmune haemolytic anaemia,4252
Antiphospholipid syndrome,4246
Polymyositis,4237
Cognitive disorder,4234
Asthenia,4209
Bowel preparation,4208
Thrombotic thrombocytopenic purpura,4188
Accidental exposure to product,4177
Myasthenic syndrome,4161
Incontinence,4157
Embolism,4130
Autoimmune disorder,4128
Cytokine release syndrome,4124
Polycystic ovaries,4121
Eye pruritus,4113
Prostatitis,4101
Haemorrhoids,4096
Osteoporotic fracture,4083
Alpha-1 anti-trypsin deficiency,4081
Peyronie's disease,4059
Antiallergic therapy,4056
Encephalitis,4048
Suicidal ideation,4034
Connective tissue disorder,4024
Ascites,4012
Nephrolithiasis,4004
Paraesthesia,4002
Hyponatraemia,4002
Autonomic neuropathy,3999
Dysuria,3970
Flatulence,3965
Autoimmune hepatitis,3950
Bone marrow transplant,3947
Postoperative analgesia,3945
Urticaria chronic,3943
Chronic rhinosinusitis with nasal polyps,3939
Malaise,3937
Steroid therapy,3926
Nuclear magnetic resonance imaging,3924
Opportunistic infection prophylaxis,3921
Peripheral swelling,3913
Borderline personality disorder,3911
Back injury,3894
Insulin resistance,3888
Mucopolysaccharidosis I,3878
Antipsychotic therapy,3865
Mycosis fungoides,3863
Encephalitis autoimmune,3858
Vitamin D decreased,3855
Palpitations,3849
