indi_pt,count
Myocardial rupture,15
Rheumatoid scleritis,15
Dandy-Walker syndrome,15
Eye colour change,15
Gastrointestinal viral infection,15
Perinephric abscess,15
Coagulation factor VIII level decreased,15
Suture rupture,15
Macrocephaly,15
HYPONATRAEMIA,15
Coronary artery surgery,15
Anti-NMDA antibody,15
Asymptomatic COVID-19,15
Prothrombin level decreased,15
Victim of sexual abuse,15
ARRHYTHMIA,15
LH decreased,15
Cross sensitivity reaction,15
Arterial angioplasty,15
Ovarian dysgerminoma stage II,15
Blood homocysteine abnormal,15
Common variable immunodeficiency,15
Ectopic gastric mucosa,15
Anal spasm,15
Pleurisy bacterial,15
Nothing by mouth order,15
Mean arterial pressure increased,15
Autoimmune cholangitis,15
Decreased ventricular preload,15
Hypokalemia,15
Protein S decreased,15
Red ear syndrome,15
Dysgraphia,15
Exercise electrocardiogram,15
Tri-iodothyronine abnormal,15
Coagulation factor inhibitor assay,15
Cystic lymphangioma,15
CBL gene mutation,15
Amniorrhexis,15
BLEEDING,15
Conjunctival irritation,15
Pancreatic leak,15
Abortion of ectopic pregnancy,15
CHRONIC BACK PAIN,15
Hepatitis B core antigen positive,15
Salpingogram,15
Mastitis postpartum,15
Tuberculosis ureter,15
Ear operation,14
Areflexia,14
Pharyngeal operation,14
Pelvic organ prolapse,14
Ammonia decreased,14
Laboratory test normal,14
BONE DISORDER,14
Intra-aortic balloon placement,14
Auditory meatus external erosion,14
Maternal distress during labour,14
Environmental exposure,14
Pre-existing condition improved,14
Alcoholic encephalopathy,14
Cardiac therapeutic procedure,14
Intervertebral disc annular tear,14
Feeding tube user,14
Angiomyxoma,14
Ultrasound Doppler abnormal,14
Acrokeratosis paraneoplastica,14
Extraocular muscle disorder,14
Migraine-triggered seizure,14
Vaginal ulceration,14
Ex-alcoholic,14
Exserohilum infection,14
DIARRHEA,14
Eyelid exfoliation,14
Urological examination,14
Thyroxine free increased,14
Genital disorder,14
Carnitine-acylcarnitine translocase deficiency,14
GRAND MAL CONVULSION,14
Endovenous ablation,14
Urachal abnormality,14
Spirometry,14
Subacute hepatic failure,14
Homocystinaemia,14
Pharyngeal hypoaesthesia,14
Bentall procedure,14
Injection site mass,14
Anti-NMDA antibody positive,14
Atherectomy,14
Injection site bruising,14
Bladder instillation procedure,14
Macular telangiectasia,14
Radiation pericarditis,14
Irregular sleep phase,14
Rift Valley fever,14
Posterior cortical atrophy,14
Vertical infection transmission,14
Hypersplenism,14
Lupus syndrome,14
Pneumatosis,14
Bacterascites,14
Postpartum stress disorder,14
Epididymal cyst removal,14
Diphtheria immunisation,14
Foreign body,14
Necrobiosis,14
Excessive dietary fibre intake,14
Fanconi syndrome acquired,14
Parent-child problem,14
Renal aneurysm,14
Childhood depression,14
Cardiac myxoma,14
Gastric hypermotility,14
Haematospermia,14
Pachyonychia congenita,14
Brown-Sequard syndrome,14
Magnetic resonance imaging liver,14
Deja vu,14
Culture negative,14
Tricuspid valve repair,14
Hypergonadism,14
Paroxysmal perceptual alteration,14
HTLV-1 test positive,14
Swelling of legs,14
Delayed delivery,14
Puerperal pyrexia,14
Adrenal androgen deficiency,14
Lupus pancreatitis,14
Refusal of treatment by patient,14
Judgement impaired,14
FGFR1 gene mutation,14
Habit cough,14
Fracture reduction,14
Spleen operation,14
Thromboembolism prophylaxis,14
Yeast infection,14
INTRAOCULAR PRESSURE INCREASED,14
Stoma closure,14
Oesophageal mucosa erythema,14
LIPODYSTROPHY ACQUIRED,14
Gastrorrhaphy,14
Perineal ulceration,14
Ostomy bag placement,14
Weaning failure,14
Viral test,14
Asymptomatic gene carrier,14
Blood creatine increased,14
Bone marrow oedema syndrome,14
Iodine uptake increased,14
Autoimmune hypoparathyroidism,14
Heart failure with midrange ejection fraction,14
PANIC DISORDER,14
Eyelid erosion,14
Chemical injury,14
Vaccination failure,14
Pyostomatitis vegetans,14
Hepatitis B surface antigen,14
Aortic valve disease mixed,14
Gastroenteritis rotavirus,14
Bile acid synthesis disorder,14
Proctocolectomy,14
Lacrimation disorder,14
Rhesus antibodies,14
Congenital tracheomalacia,14
Streptobacillus infection,14
Abscess sterile,14
Haemorrhagic erosive gastritis,14
Vascular graft thrombosis,14
PERCUTANEOUS CORONARY INTERVENTION,14
Posturing,14
Hyperchromic anaemia,14
Varicocele,14
Joint lock,14
Colonic pseudo-obstruction,14
Application site swelling,14
OVERDOSE,14
Anti B antibody,14
Jejunal stenosis,14
Vaginal cyst,14
Blood aldosterone decreased,14
Xanthelasma,14
Blood erythropoietin abnormal,14
Peripheral nerve neurostimulation,14
Intracranial haematoma,14
Macular dystrophy congenital,14
Serratia bacteraemia,14
Blepharokeratoconjunctivitis,14
Colonic fistula,14
Product solubility abnormal,14
Vitello-intestinal duct remnant,14
UPPER RESPIRATORY TRACT INFECTION,14
Immune-mediated cholangitis,14
Indigestion,14
Pudendal block,14
Major depressive disorder NOS,14
Endometrial hypertrophy,14
Lupus hepatitis,14
Post procedural bile leak,14
Nasogastric output normal,14
Mitral valve disease mixed,14
Pulmonary echinococciasis,14
NEUROPATHIC PAIN,14
Vascular graft complication,14
Omphalitis,14
Viral diarrhoea,14
Chemical peel of skin,14
Abdominal wall wound,14
Heart valve calcification,14
Heart attack,14
Neuroglycopenia,14
Myofascial spasm,14
Dieulafoy's vascular malformation,14
Unknown route of product administration,14
Cutaneous blastomycosis,14
Antidepressant discontinuation syndrome,14
SARS-CoV-2 test,14
Computerised tomogram heart abnormal,14
Normochromic anaemia,14
Recall phenomenon,14
Pneumonia parainfluenzae viral,14
Meningococcal bacteraemia,14
SPINAL COMPRESSION FRACTURE,14
Urine calcium increased,14
Reflux oesophagitis,14
Nail injury,14
Elephantiasis,14
Auricular swelling,14
Hyposmia,14
Congenital aortic valve stenosis,14
Stoma site discomfort,14
Fibrin,14
Complicated appendicitis,14
Pneumonia pseudomonas aeruginosa,14
Psychogenic pain disorder,14
CARDIAC FAILURE CONGESTIVE,14
Radiculitis lumbosacral,14
Gestational hyperthyroidism,14
PO2 decreased,14
Diabetic coma,13
Malignant ovarian cyst,13
Fusobacterium test positive,13
Breast discharge,13
Exposure via inhalation,13
Anomalous atrioventricular excitation,13
Ureteric stenosis,13
Metabolic myopathy,13
Acquired factor V deficiency,13
Mediastinal haematoma,13
Coxsackie viral infection,13
Injury of conjunctiva,13
Malignant spinal cord compression,13
Malignant bowel obstruction,13
Tri-iodothyronine,13
Cerebellar ischaemia,13
Sinonasal papilloma,13
Vaccination site infection,13
Transplant recipient,13
Lagophthalmos,13
Beckwith-Wiedemann syndrome,13
Haemophilus sepsis,13
 PATENT DUCTUS ARTERIOSUS,13
Central nervous system function test abnormal,13
Tracheostomy infection,13
Alpha 1 foetoprotein increased,13
Vitamin B6,13
Ulna fracture,13
Chest X-ray,13
Ventricular flutter,13
Cutis laxa,13
Dental prosthesis user,13
Bone scan abnormal,13
Cold agglutinins positive,13
Cutaneous malacoplakia,13
Necrotising oesophagitis,13
Anastomotic stenosis,13
Zoonotic bacterial infection,13
LH blood decreased,13
Hypoferritinaemia,13
PSEUDOMONAS INFECTION,13
Transdermal contraception,13
Poriomania,13
Creatinine renal clearance decreased,13
CABG,13
Hepatic infarction,13
Transient global amnesia,13
Mendelson's syndrome,13
Activities of daily living impaired,13
Unwanted pregnancy,13
Blood albumin,13
Nuclear magnetic resonance imaging neck,13
Hepatic infection fungal,13
Knee arthritis,13
Ethmoid sinus surgery,13
Influenza A virus test,13
Arterial bypass occlusion,13
Ureteric obstruction,13
Airway complication of anaesthesia,13
Clonal haematopoiesis,13
HIV infection CDC Group IV subgroup C2,13
Narcotic bowel syndrome,13
Donohue syndrome,13
Satoyoshi syndrome,13
Cyst rupture,13
Systemic toxicity,13
Anaesthesia oral,13
Haemophilia B without inhibitors,13
Gastrointestinal wall thickening,13
Dermatologic examination,13
Donor organ tissue preparation issue,13
Spinal cord operation,13
Bulbar palsy,13
Positive expiratory pressure therapy,13
Implant site reaction,13
Epididymal disorder,13
Genetic polymorphism,13
Radiotherapy to bone,13
PSORIATIC ARTHRITIS,13
Joint stabilisation,13
FUNGAL INFECTION OF NAIL,13
Oral viral infection,13
Gastrointestinal stoma output abnormal,13
Job dissatisfaction,13
Osteoradionecrosis,13
Convulsions local,13
Pulmonary arteriopathy,13
"Delusional disorder, erotomanic type",13
Kidney transplant,13
External ear inflammation,13
Corneal implant,13
Tuberculous tenosynovitis,13
Volume blood,13
Polymorphic eruption of pregnancy,13
Finger amputation,13
Blood immunoglobulin G abnormal,13
Mikulicz's syndrome,13
Blood folate abnormal,13
Arterial restenosis,13
Immobilisation syndrome,13
Cardiovascular examination,13
Periorbital pain,13
RELAPSING-REMITTING MULTIPLE SCLEROSIS,13
Meningitis eosinophilic,13
Epileptic aura,13
Thoracic cavity drainage,13
Urogenital infection fungal,13
Chronic renal failure,13
ANESTHESIA,13
Gastroduodenal haemorrhage,13
Right ventricular hypertension,13
Genital dysaesthesia,13
Leuconostoc infection,13
Ectropion,13
Patient elopement,13
Lhermitte's sign,13
Respiratory syncytial virus bronchitis,13
Thermal burns of eye,13
Pneumonia blastomyces,13
Eyelid pain,13
Pulmonary air leakage,13
Intrinsic factor deficiency,13
Uterine irritability,13
Choanal atresia,13
Radiculotomy,13
Cardiovascular function test abnormal,13
Photopheresis,13
Blood gonadotrophin releasing hormone,13
ANEMIA,13
Stent malfunction,13
Physiotherapy chest,13
Congenital small intestinal atresia,13
Cardiac function test abnormal,13
Menstrual cramps,13
Cytomegalovirus mononucleosis,13
Sputum decreased,13
Pulmonary valve incompetence,13
ANALGESIA,13
SPINAL CORD INJURY,13
Joint debridement,13
Erythema induratum,13
Atypical fracture,13
Paedophilia,13
Lymphadenitis viral,13
Caffeine consumption,13
Radical mastectomy,13
Paget-Schroetter syndrome,13
Difficulty sleeping,13
Chlamydial cervicitis,13
Cardiolipin antibody,13
Attention deficit disorder,13
Pulmonary pneumatocele,13
Itching,13
Aerophobia,13
Eyelid skin dryness,13
Skin lesion inflammation,13
Granulocyte count increased,13
Hepatic adenoma,13
Left atrial appendage closure implant,13
Antasthmatic drug level therapeutic,13
Infective glossitis,13
Immune-mediated hypophysitis,13
Herpetic radiculopathy,13
Blood corticotrophin abnormal,13
Body modification,13
Infusion site irritation,13
Protein total increased,13
Macular detachment,13
Central cord syndrome,13
Anti-interferon antibody positive,13
Neurogenic pain,13
Urticaria contact,13
Antidiuretic hormone abnormality,13
Ear lobe infection,13
Congenital lymphoedema,13
Fear of death,13
Traumatic haemothorax,13
Precerebral artery occlusion,13
Pancreatolithiasis,13
Liver transplant failure,13
Wernicke-Korsakoff syndrome,13
Bone swelling,13
Gingival erosion,13
Brain stent insertion,13
Epinephrine decreased,13
Beta interferon therapy,13
Arachnoid cyst,13
Dairy intolerance,13
Ulcerative colitis,13
IHD,13
Thyroid stimulating hormone decreased,13
Wada test,13
Glaucoma traumatic,13
Pyloric abscess,13
Injection site hypersensitivity,13
Group B streptococcus neonatal sepsis,13
Urinary tract malformation,13
Lysosomal storage disorder,13
Middle lobe syndrome,13
Glaucoma drainage device placement,13
Aborted pregnancy,13
"SCHIZOPHRENIA, PARANOID TYPE",13
Gardnerella infection,13
Hepatic vascular thrombosis,13
Tropical sprue,13
Vocal cord paresis,13
DEVICE RELATED INFECTION,13
Thymectomy,13
Gingival discomfort,13
Orchidopexy,13
Disseminated superficial actinic porokeratosis,13
Chondroplasty,13
Normal labour,13
Shunt malfunction,13
WHEEZING,13
Laryngeal discomfort,13
Intestinal transit time,13
Postoperative pain,13
Haemodynamic test,13
Atypical migraine,13
Coronary insufficiency,13
Pleural fistula,13
Herbal toxicity,13
Anal erythema,13
Impaired driving ability,12
OVERACTIVE BLADDER,12
Incision site erythema,12
Cardiac index decreased,12
Withdrawal catatonia,12
Progressive myoclonic epilepsy,12
Chemoembolisation,12
 OSTEOPOROSIS,12
Blood erythropoietin decreased,12
Post procedural persistent drain fluid,12
Chylomicron increased,12
Occult blood positive,12
NERVE BLOCK,12
Echocardiogram abnormal,12
MYASTHENIA GRAVIS,12
Coinfection,12
Arteriovenous fistula site complication,12
Interferonopathy,12
Intercapillary glomerulosclerosis,12
HCoV-OC43 infection,12
Citrobacter bacteraemia,12
Neurologic somatic symptom disorder,12
ENTEROCOCCAL BACTEREMIA,12
Local anaesthetic systemic toxicity,12
Bacillus Calmette-Guerin infection,12
INTRAOCULAR LENS IMPLANT,12
Pseudomonal skin infection,12
Cataract cortical,12
Tongue haemorrhage,12
Tuberculosis of peripheral lymph nodes,12
Gatad2b associated neurodevelopmental disorder,12
Radiation inflammation,12
Pulmonary artery catheterisation,12
Veillonella infection,12
Vaginal lesion,12
Cardiac procedure complication,12
STENT PLACEMENT,12
SARS-CoV-2 RNA,12
Bone formation increased,12
Perineurial cyst,12
Type III hyperlipidaemia,12
Pulmonary arterial wedge pressure increased,12
Camptocormia,12
Faecalith,12
Oral mucosal discolouration,12
Cranial nerve paralysis,12
Blood homocysteine,12
Strangulated umbilical hernia,12
Urethral stricture traumatic,12
Choluria,12
Numbness,12
Toxic erythema of chemotherapy,12
Semen volume decreased,12
Bladder repair,12
Pelvic prolapse,12
Weight loss,12
Pelvic floor dyssynergia,12
Genital infection bacterial,12
Upper respiratory tract irritation,12
Glucose tolerance test abnormal,12
Arthritis allergic,12
Polycystic ovary,12
ALLERGY,12
Superinfection mycobacterial,12
Acrochordon excision,12
Polyradiculoneuropathy,12
Gynaecological chlamydia infection,12
BRAIN INJURY,12
Hyperlactacidaemia,12
Pain in arm,12
Pneumopericardium,12
Heart failure with improved ejection fraction,12
Vascular rupture,12
Orbital cyst,12
HIV antigen,12
Nutritional supplement allergy,12
Shoplifting,12
Anal fissure haemorrhage,12
Coffin-Lowry syndrome,12
Joint pain,12
Fluorescence angiogram,12
Vasectomy,12
Newcastle disease,12
MALARIA PROPHYLAXIS,12
Skin oedema,12
Herniated disc,12
IIIrd nerve paralysis,12
Bloch-Sulzberger syndrome,12
Segmental diverticular colitis,12
YEAST INFECTION,12
Ultrasound pancreas,12
Pulmonary interstitial emphysema syndrome,12
VASCULITIS,12
Retinal laser coagulation,12
Abdominal wall pain,12
Amegakaryocytic thrombocytopenia,12
JOINT PAIN,12
Mastication disorder,12
PARANOID SCHIZOPHRENIA,12
Jejunal ulcer,12
APHERESIS,12
Reproductive hormone,12
Periventricular leukomalacia,12
Diaphragmatic injury,12
DRUG USE FOR UNAPPROVED INDICATION,12
Bronchial wall thickening,12
Episiotomy,12
Application site hypoaesthesia,12
Congenital endocrine anomaly,12
Paracentesis eye,12
Arteriogram coronary abnormal,12
Eyelid cyst,12
Underdose,12
Cardiovascular somatic symptom disorder,12
Blood pressure diastolic,12
Arthritis gonococcal,12
Hemorrhoids,12
Ultrasound breast,12
Non-infectious endophthalmitis,12
Joint irrigation,12
Involuntary commitment,12
Aspartate aminotransferase,12
Somniphobia,12
Leukostasis syndrome,12
Hypogammaglobulinemia,12
Tongue spasm,12
Spastic paralysis,12
Allergic rhinitis,12
Product administered to patient of inappropriate age,12
Unhealthy diet,12
Disorganised speech,12
Lymphogranuloma venereum,12
Eczema impetiginous,12
Exposure via ingestion,12
Herpes zoster meningomyelitis,12
Menses irregular,12
Gallbladder polyp,12
Uterine irrigation,12
Positron emission tomogram prostate,12
Bile acids increased,12
Blood cholesterol esterase increased,12
Engraft failure,12
Blood folate increased,12
GASTRIC DISORDER,12
Paratyphoid fever,12
Symblepharon,12
Breathing-related sleep disorder,12
Blood cholinesterase,12
Cutaneous anthrax,12
LUMBAR SPONDYLOSIS,12
Allergic reaction,12
Infusion site discomfort,12
ST segment elevation myocardial infarction,12
Halo vision,12
Blood pressure orthostatic,12
Somatostatin receptor scan,12
Pneumonia moraxella,12
Encephalitis enteroviral,12
POSTOPERATIVE PAIN,12
Bacterial parotitis,12
Cardiac disorder prophylaxis,12
Cutaneous larva migrans,12
GASTROINTESTINAL DISORDER,12
Pancreatic calcification,12
Kinesitherapy,12
WOUND INFECTION,12
Incarcerated inguinal hernia,12
Blood donor,12
Gastric atony,12
DNMT3A gene mutation,12
Grandiosity,12
Mastoid disorder,12
Pupil constriction procedure,12
Cisternogram,12
Large for dates baby,12
Perineal injury,12
ACID REFLUX (ESOPHAGEAL),12
Immunotactoid glomerulonephritis,12
Progestin therapy,12
Venipuncture,12
Dopamine transporter scintigraphy,12
Penile burning sensation,12
CT scan,12
Dextrocardia,12
Hepatic enzyme,12
Gestational age test abnormal,12
White blood cells urine positive,12
Hemianopia,12
ALZHEIMER'S DISEASE,12
Urine uric acid abnormal,12
Injury to brachial plexus due to birth trauma,12
Uterine inflammation,12
Wrong technique in product usage process,12
Paranasal sinus hyposecretion,12
Megalencephaly,12
Urethral spasm,12
Radiotherapy to brain,12
Excessive dynamic airway collapse,12
Trichodynia,12
Radicular syndrome,12
Autoimmune aplastic anaemia,12
Hepatic angiogram,12
Vulvovaginal adhesion,12
Capillary fragility,12
Presbyacusis,12
Testicular hyperfunction,12
Membrane stabilising effect,12
Menstruation increased,12
Microneedling,12
Gastrostomy tube site complication,12
Tympanic membrane disorder,12
Cutaneovisceral angiomatosis with thrombocytopenia,12
Pulmonary artery therapeutic procedure,12
Fascial rupture,12
SEDATIVE THERAPY,12
Keratorhexis,12
Endolymphatic hydrops,12
HELICOBACTER PYLORI INFECTION,12
Actinomyces test positive,12
Abortion early,12
Chemical burns of eye,12
Hepatitis B DNA assay positive,12
Contracted bladder,12
Perineal disorder,12
Diverticular fistula,12
Ear injury,12
Androgens increased,12
Moebius II syndrome,12
Cardiac cirrhosis,12
Painful respiration,12
Intra-cerebral aneurysm operation,12
Serum serotonin,12
Infusion site rash,12
Colposcopy,12
Anterior chamber cleavage syndrome,12
HYPERLIPIDAEMIA,12
Hepatitis C antibody,12
Vascular graft stenosis,12
Factor III deficiency,12
Skin lesion removal,12
Epidermolysis,12
TIA,12
Intra-uterine contraceptive device removal,12
Stroke volume decreased,12
Intestinal congestion,12
Liver iron concentration increased,12
Lip exfoliation,12
Product preparation issue,12
Bone hypertrophy,12
Binge drinking,12
Thyroid dysfunction in pregnancy,12
Congenital hepatic fibrosis,12
Product preparation error,12
Vascular stent restenosis,12
Pulmonary dysmaturity syndrome,12
Ear tube insertion,12
Central retinal vein occlusion,12
Arthritis viral,12
Air embolism,12
Haemodialysis complication,12
INTENTIONAL SELF-INJURY,11
Cryptococcus test,11
Hemianopia homonymous,11
Wound healing normal,11
Sneddon's syndrome,11
HEAD INJURY,11
Panniculitis lobular,11
Penicilliosis,11
"Dementia of the Alzheimer's type, with depressed mood",11
Hydrometra,11
Imperception,11
Toxic leukoencephalopathy,11
Salivary gland calculus,11
Catheter site inflammation,11
Multiple pregnancy,11
Umbilical cord abnormality,11
Prothrombin time abnormal,11
Iridotomy,11
Sensation of heaviness,11
Hepatic cytolysis,11
GASTROESOPHAGEAL REFLUX,11
Chronic back pain,11
Carcinoembryonic antigen increased,11
Stab wound,11
Stent removal,11
Uterine fibrosis,11
SPINAL FRACTURE,11
Perineal infection,11
Atrial pressure increased,11
Retained placenta or membranes,11
Menstrual headache,11
Cardiac electrophysiologic study,11
Cholesteatoma,11
SEASONAL ALLERGY,11
Radiation myelopathy,11
Oestradiol abnormal,11
Venous pressure increased,11
Apoptosis,11
Yellow fever,11
Reye's syndrome,11
Magnetic resonance imaging renal,11
Sweat gland infection,11
Infective mesenteric panniculitis,11
Cryptogenic cirrhosis,11
Ulnocarpal abutment syndrome,11
Plasminogen activator inhibitor polymorphism,11
Vagus nerve disorder,11
DENTAL CARIES,11
Bronchopleural fistula,11
CIRCUMCISION,11
Urethral obstruction,11
Borrelia test positive,11
Complications of intestinal transplant,11
Oedema mouth,11
Testicular injury,11
Speech sound disorder,11
Coagulation factor V level decreased,11
INFECTION PROPHYLAXIS,11
Legionella test positive,11
Myocardial strain,11
Cycloplegic refraction,11
Foetal heart rate increased,11
UPPER RESPIRATORY INFECTION,11
Pseudoxanthoma elasticum,11
Drug level below therapeutic,11
Primary stabbing headache,11
Leukoplakia,11
Sleeve gastrectomy,11
Injection site haemorrhage,11
DEPRESSIVE DISORDER,11
Bradypnoea,11
Headache NOS,11
Cytomegalovirus duodenitis,11
Lamin A/C gene mutation,11
Psychosis postoperative,11
Hyposplenism,11
Amniotic cavity disorder,11
Aortic valve prolapse,11
Bartholin's abscess,11
Chemical burn of respiratory tract,11
Corneal operation,11
Peripheral nervous system function test abnormal,11
Administration site rash,11
Application site dermatitis,11
Reversible airways obstruction,11
Musculoskeletal procedural complication,11
Urethral atrophy,11
Diabetic complication renal,11
Dermatochalasis,11
Cardiac contractility decreased,11
Laryngoscopy,11
Anticholinergic effect,11
AGITATION,11
Urethral syndrome,11
IRRITABLE BOWEL SYNDROME,11
Pelvic operation,11
Volume blood increased,11
Trisomy 12,11
Painful feet,11
Colopathy,11
Peritonitis lupus,11
Laryngeal dyspnoea,11
Late onset hypogonadism syndrome,11
Lordosis,11
Rickettsialpox,11
ACQUIRED IMMUNODEFICIENCY SYNDROME,11
Ubiquinone decreased,11
Sinoatrial block,11
Computerised tomogram limb,11
Pain in foot,11
Sleeplessness,11
Bleeding time prolonged,11
Peak expiratory flow rate decreased,11
Small intestinal ulcer haemorrhage,11
Fatal familial insomnia,11
Gastrointestinal ulcer perforation,11
Iliac artery dissection,11
BIPOLAR I DISORDER,11
Coprolalia,11
THERAPEUTIC SKIN CARE TOPICAL,11
Nicotinamide decreased,11
Mumps,11
Gastrointestinal erosion,11
ANAESTHESIA PROCEDURE,11
Anion gap,11
Ankle arthroplasty,11
Infective thrombosis,11
Idiopathic condylar resorption,11
Water intoxication,11
Testicular atrophy,11
Antibody test,11
Idiopathic CD4 lymphocytopenia,11
 BLOOD PRESSURE HIGH,11
Papilloma excision,11
MENORRHAGIA,11
Urticarial dermatitis,11
Progressive external ophthalmoplegia,11
Periprosthetic fracture,11
Head circumference abnormal,11
Granulocytes abnormal,11
RASH,11
Herpes simplex necrotising retinopathy,11
Myringitis,11
Job change,11
Drug level above therapeutic,11
Yellow skin,11
ANKYLOSING SPONDYLITIS,11
Periodontal operation,11
ANTIVIRAL TREATMENT,11
Mastocytic enterocolitis,11
Ejaculation failure,11
Splenic rupture,11
Borderline mental impairment,11
Retinal microangiopathy,11
Balneotherapy,11
Klippel-Feil syndrome,11
Testicular cyst,11
Sensory overload,11
POSTOPERATIVE ANALGESIA,11
Congenital hiatus hernia,11
Blood creatinine,11
Hyperosmolar state,11
NTRK gene fusion overexpression,11
Food protein-induced enterocolitis syndrome,11
Anti factor IX antibody increased,11
Intracardiac mass,11
Retinoic acid syndrome,11
Fallopian tube abscess,11
Cardiac asthma,11
Hyperuricosuria,11
Intestinal vascular disorder,11
Platelet adhesiveness,11
Hepatic embolisation,11
Retrograde amnesia,11
Double inlet left ventricle,11
Viral test positive,11
Glucose tolerance decreased,11
Nail hypertrophy,11
Sympathetic nerve injury,11
RETINOBLASTOMA UNILATERAL,11
LENNOX--GASTAUT SYNDROME,11
Blood pressure ambulatory increased,11
Actinomycotic skin infection,11
Post infection glomerulonephritis,11
Complement fixation abnormal,11
Home care,11
Infection MRSA,11
Urethral adenoma,11
Subglottic laryngitis,11
Infantile colic,11
Cardiac valve fibroelastoma,11
Stroke,11
Renal artery embolisation,11
Polyomavirus test positive,11
Eye naevus,11
Leukaemic infiltration brain,11
Endometritis decidual,11
Renal artery arteriosclerosis,11
Nephritis bacterial,11
Enanthema,11
Biliary fistula,11
CARDIAC DISORDER,11
Jaundice neonatal,11
Fahr's disease,11
Haemodynamic test abnormal,11
 DEPRESSION,11
Transferrin decreased,11
Bronchitis fungal,11
Lymphoblast count increased,11
Reaction to azo-dyes,11
VIth nerve disorder,11
Hepatitis B e antigen,11
Menstrual irregularity,11
Neonatal intestinal perforation,11
Meningitis histoplasma,11
Avoidant personality disorder,11
Water retention,11
Incision site complication,11
Ureterocele,11
Vasculitic ulcer,11
Terminal dribbling,11
CAR T-cell-related encephalopathy syndrome,11
Anti-thyroid antibody positive,11
Penile oedema,11
Retinopathy sickle cell,11
Enterovirus myocarditis,11
Cardiac iron overload,11
Thyroxine increased,11
INAPPROPRIATE ANTIDIURETIC HORMONE SECRETION,11
Magnetic resonance imaging abnormal,11
Anal candidiasis,11
Cellulitis gangrenous,11
IDIOPATHIC THROMBOCYTOPENIC PURPURA,11
Peritoneal candidiasis,11
CLOSTRIDIUM DIFFICILE INFECTION,11
Thyroid disorder NOS,11
Rebound acid hypersecretion,11
Retinal white dots syndrome,11
Inflammatory marker test,11
Stenotrophomonas test positive,11
Procedural shock,11
Unspecified hypothyroidism,11
MIGRAINE HEADACHE,11
Uterine artery embolisation,11
Thyroid function decreased,11
Ocular albinism,11
Naevus flammeus,11
Haptoglobin decreased,11
Tissue adhesion prophylaxis,11
Pericarditis fungal,11
Pubertal disorder,11
Necrolytic migratory erythema,11
Marburg's variant multiple sclerosis,11
Atypical parkinsonism,11
Post transplant distal limb syndrome,11
Tropical eosinophilia,11
Jessner's lymphocytic infiltration,11
Anti-muscle specific kinase antibody positive,11
Hypoinsulinaemia,11
Arthrectomy,11
Shone complex,11
Therapeutic emesis,11
Diversion colitis,11
Trigger points,11
17-hydroxyprogesterone increased,11
Vitamin A deficiency eye disorder,11
Dermatitis artefacta,11
Ductus arteriosus stenosis foetal,11
Portal shunt procedure,11
CHEST PAIN,11
Neurolysis,11
Product dispensing issue,11
Hypnagogic hallucination,11
Psychomotor seizures,11
Aortic valve calcification,11
Pelvic vein embolisation,11
Lupus erythematosus,11
Benign prostatic hypertrophy,11
Ultrasound uterus,11
Senile ankylosing vertebral hyperostosis,11
PROPHYLAXIS AGAINST TRANSPLANT REJECTION,11
Corneal flap complication,11
Tinea faciei,11
Anorectal operation,11
Carotid angioplasty,11
LUPUS NEPHRITIS,10
Cerebral radiation injury,10
Paternal exposure before pregnancy,10
Portal vein pressure increased,10
THYROID DISORDER,10
Inhibiting antibodies,10
Neuropathic ulcer,10
Eyelid retraction,10
Hand amputation,10
Seizure anoxic,10
Penile discharge,10
Catheter site haemorrhage,10
Prothrombin time shortened,10
ANAESTHESIA,10
Axillary lymphadenectomy,10
NEUROPATHY PERIPHERAL,10
Spinal epidural haematoma,10
Juvenile Paget's disease,10
Food contamination,10
Mucolipidosis type II,10
Adrenal blockade therapy,10
Mucolipidosis type I,10
Urine uric acid increased,10
Subdural hygroma,10
Congenital white blood cell disorder,10
Anti-neuronal antibody positive,10
Angiolipoma,10
ACAD9 deficiency,10
Urinary bladder rupture,10
Macroglossia,10
Altered visual depth perception,10
GENITAL HERPES,10
Lactation puerperal increased,10
Febrile nonhaemolytic transfusion reaction,10
Penile swelling,10
Neonatal tachycardia,10
IDDM,10
Puncture site inflammation,10
Selective abortion,10
Hyperglycaemic crisis,10
Helicobacter test,10
Self esteem decreased,10
Blood pH increased,10
Oesophageal oedema,10
Gram stain negative,10
Alcohol induced persisting dementia,10
Delayed effects of radiation,10
Trichiniasis,10
Hypoglycaemic coma,10
Pancreatitis haemorrhagic,10
Prophylaxis of vaginal flora imbalance,10
Congenital scoliosis,10
Neurological rehabilitation,10
Fungal test,10
DRUG EXPOSURE VIA MOTHER,10
Enteroclysis,10
Gamma interferon therapy,10
Hereditary sideroblastic anaemia,10
Deep venous thrombosis prophylaxis,10
Withdrawal bleed,10
Oesophageal operation,10
Bacterial food poisoning,10
Impatience,10
Failed induction of labour,10
Azoospermia,10
Biliary tract operation,10
Phlebotomy,10
INFLAMMATION,10
Postpartum venous thrombosis,10
Scimitar syndrome,10
Heart sounds abnormal,10
Urinary tract toxicity,10
Blood pH,10
Dermatologic examination abnormal,10
Injection site injury,10
Hepatic haemorrhage,10
ANGINA PECTORIS,10
INDUCTION OF ANESTHESIA,10
Hernia hiatus repair,10
